symbol,BNB,BTC,DASH,ETH,LTC
,close,close,close,close,close
timestamp,,,,,
2018-10-09 00:00:00.000,10.561256816628335,6653.089450830426,182.82488133735143,229.52461502629828,59.5897158305285
2018-10-10 00:00:00.000,10.425519066863629,6633.745729917172,181.14372136978758,227.9689077917784,58.84129805158942
2018-10-11 00:00:00.000,10.376374477563656,6582.455082387102,179.00621404807558,225.66201617746165,58.0262045876783
2018-10-12 00:00:00.000,9.289349963291311,6234.367641454442,157.6265267513929,192.0010841477226,51.30214861379764
2018-10-13 00:00:00.000,9.549568092900754,6285.592982799844,158.7072433667486,197.06801594741614,53.73520928870977
2018-10-14 00:00:00.000,9.611285139513411,6314.883384422573,162.34220334551597,201.05349968429928,53.93122557989772
2018-10-15 00:00:00.000,9.57871855879858,6328.554760034424,158.73002954207843,196.3186984116144,52.48165901736143
2018-10-16 00:00:00.000,10.46706458946105,6659.87550840943,167.39300156785893,212.2030694387269,55.67753950894572
2018-10-17 00:00:00.000,10.151278523136257,6635.125667516839,165.5401693275231,212.4442865474299,54.94816672560304
2018-10-18 00:00:00.000,10.120465869648518,6635.741832487943,163.12438743388526,211.08269302502703,54.766109860188244
2018-10-19 00:00:00.000,9.850359939477935,6517.511087710534,156.174656118532,204.31304892929978,52.83990687227903
2018-10-20 00:00:00.000,9.851806399121575,6483.827769471798,154.32861852093419,203.97626253061992,53.41453401828318
2018-10-21 00:00:00.000,9.879532147513098,6532.678750383806,156.6809349518846,206.88209866230514,53.92745423008259
2018-10-22 00:00:00.000,9.89136163971076,6529.670021370842,155.97351423666262,206.30982679591034,53.247422881130355
2018-10-23 00:00:00.000,9.82333144163201,6512.589059298922,153.7325582712032,205.03775490876436,52.70468585668032
2018-10-24 00:00:00.000,9.852828045797988,6472.799660641591,154.56019030021332,204.08394558056767,52.713733422147214
2018-10-25 00:00:00.000,9.764645098080713,6481.443589558082,156.64922304300723,203.52219877380867,52.53136810013208
2018-10-26 00:00:00.000,9.737861458809112,6458.191521836801,155.85725404151145,202.35302275695466,52.28584394800064
2018-10-27 00:00:00.000,9.756205635931446,6468.826424965618,156.23103875185893,203.38496856526396,52.21902611068149
2018-10-28 00:00:00.000,9.68839170117153,6457.058635186671,153.64337474317506,203.18739632422128,51.9181403976021
2018-10-29 00:00:00.000,9.703464182310324,6481.323141667608,156.69214304589084,204.7223407022085,51.924272534508155
2018-10-30 00:00:00.000,9.393117409368257,6292.6479239344,149.91846812238697,195.7514045211852,48.83848139041733
2018-10-31 00:00:00.000,9.435300549696183,6331.781807909807,153.662317247496,197.44844958499,49.16100683161013
2018-11-01 00:00:00.000,9.479385525298765,6366.720109554257,153.26143748994792,198.6390488336609,49.85599624524341
2018-11-02 00:00:00.000,9.570512200379362,6379.972972168429,153.8625038059356,199.1226070207313,50.393596454481255
2018-11-03 00:00:00.000,9.645800855328723,6425.4415830402095,155.59618121651692,202.28275716666218,51.73503650248577
2018-11-04 00:00:00.000,9.580928361761858,6388.1897883073725,155.82032926313164,200.13622776255878,51.03496098033396
2018-11-05 00:00:00.000,9.450966456289702,6351.061941056285,162.3218533167496,206.8144295995958,53.32737077033311
2018-11-06 00:00:00.000,9.700565893202524,6415.443408541094,164.4414086024331,209.10887661978714,53.40720748184259
2018-11-07 00:00:00.000,9.806151029731403,6474.847290336688,171.01223168972678,219.16088708430863,55.82876120478928
2018-11-08 00:00:00.000,9.876521212731241,6574.801180290013,167.41742419037806,219.0157747507676,54.249268109399864
2018-11-09 00:00:00.000,9.704750133000248,6490.454730761757,165.90403480893912,213.40763439234544,52.67812212467948
2018-11-10 00:00:00.000,9.566721730040312,6413.78203857173,160.49847424021658,210.79061959752252,52.18620849086484
2018-11-11 00:00:00.000,9.578784335957543,6429.898792074219,162.1968186072425,212.9658278769949,52.375866958033924
2018-11-12 00:00:00.000,9.526052837368049,6434.2845969255495,160.3588376252794,212.4733247441558,51.62525327988677
2018-11-13 00:00:00.000,9.407127583191935,6411.353436205148,163.28423084725682,211.65690924875202,50.9523619029826
2018-11-14 00:00:00.000,9.311338307550514,6394.289276264062,162.35669068092918,208.58229647385883,50.05774061981147
